type,project,site,yr,qtr,subsite,loc,sensor,launch.date,launch.time,deploy.date,deploy.time,retrieve.date,retrieve.time,lat,lon,comments
temp,Restoration,BlindBay,2020,4,A,1,20604508,10/7/2020,1:00:00,10/8/2020,15:00:00,4/24/2021,23:30:00,48.57816,-122.94099,"Based on the email from Pema Kitaeff sent on Monday, April 26, 2021, it appears the sensor was recovered sometime on Sunday, April 25, 2021. Therefore, inidicated sensor recovery at 23:00:00, on Saturday, April 24, 2021. Email saved in SJI Zm restoration folder."
par,Restoration,Myrtle,2021,1,A,1,6009,12/30/2020,1:00:00,12/30/2020,10:45:00,5/4/2021,11:00:00,47.62046,-122.36398,"Hydro-Wiper #3641, Yellow tag #17."
par,Restoration,QMHDockton,2020,3,A,1,8000,7/3/2020,1:00:00,7/2/2020,10:30:00,12/10/2020,15:08:00,47.38592,-122.43793,Sensor fouled with barnacles. Photos in KC Restoration <\\DNR\DIVISIONS\AQR_NEARSHORE\projects\Eelgrass_Restoration\2020_KingCounty_ZmRestoration\photos\2020_12_10_sensors_Raabs_Dockton_QMH\>
par,Restoration,QMHDockton,2020,4,A,1,6420,12/11/2020,1:00:00,12/10/2020,15:08:00,4/29/2021,10:50:00,47.38592,-122.43793,"HydroWiper 3793, tag 22"
par,Restoration,QMHRaabs,2020,3,A,1,8001,7/3/2020,1:00:00,7/2/2020,10:30:00,12/10/2020,14:41:00,47.39066,-122.43606,
par,Restoration,QMHRaabs,2020,4,A,1,6427,12/11/2020,1:00:00,12/10/2020,14:41:00,4/29/2021,11:40:00,47.39066,-122.43606,"HydroWiper 3783, tag 16"
depth,Restoration,QMHRaabs,2020,3,A,1,20331318,7/3/2020,1:00:00,7/2/2020,10:30:00,12/10/2020,14:41:00,47.39066,-122.43606,
depth,Restoration,QMHDockton,2020,3,A,1,20331317,7/3/2020,1:00:00,7/2/2020,10:30:00,12/10/2020,15:08:00,47.38592,-122.43793,
depth,Restoration,DumasBay,2020,3,A,1,20566009,6/5/2020,1:00:00,6/4/2020,11:30:00,12/29/2020,13:55:00,47.32933,-122.38615,
depth,Restoration,QMHRaabs,2020,4,A,1,20566086,12/11/2020,1:00:00,12/10/2020,14:41:00,4/29/2021,11:40:00,47.39066,-122.43606,
depth,Restoration,QMHDockton,2020,4,A,1,20566024,12/11/2020,1:00:00,12/10/2020,15:08:00,4/29/2021,10:50:00,47.38592,-122.43793,
depth,Restoration,DumasBay,2020,1,A,1,20565978,12/11/2020,1:00:00,12/29/2020,13:55:00,4/28/2021,12:30:00,47.32933,-122.38615,
depth,Restoration,Joemma,2020,3,methN,NE,10777822,7/21/2020,13:00:00,7/21/2020,13:00:00,6/25/2021,13:00:00,47.22597,-122.81366,
depth,Restoration,Joemma,2020,3,methM,NE,10777821,7/21/2020,13:00:00,7/21/2020,13:00:00,6/25/2021,13:00:00,47.22284,-122.81056,
depth,Restoration,Joemma,2020,3,methS,NE,10777818,7/21/2020,13:00:00,7/21/2020,13:00:00,6/25/2021,13:00:00,47.22118,-122.80933,
depth,Restoration,Myrtle,2020,1,A,1,20574098,12/30/2020,1:00:00,12/30/2020,10:45:00,5/4/2021,11:00:00,47.62046,-122.36398,
depth,Restoration,Joemma,2020,1,NHP,bottom,20574104,12/30/2020,1:00:00,12/29/2020,11:35:00,4/29/2021,15:45:00,47.22196,-122.8102,
temp,Restoration,QMHRaabs,2020,3,A,1,20047935,7/3/2020,1:00:00,7/2/2020,10:30:00,12/10/2020,14:41:00,47.39066,-122.43606,
temp,Restoration,QMHDockton,2020,3,A,1,20047933,7/3/2020,1:00:00,7/2/2020,10:30:00,12/10/2020,15:08:00,47.38592,-122.43793,
temp,Restoration,DumasBay,2020,3,A,1,20359587,6/5/2020,1:00:00,6/4/2020,11:30:00,12/29/2020,13:55:00,47.32933,-122.38615,
temp,Restoration,QMHRaabs,2020,4,A,1,20047937,12/11/2020,1:00:00,12/10/2020,14:41:00,4/29/2021,11:40:00,47.39066,-122.43606,Deployment photos in KC Restoration <\\DNR\DIVISIONS\AQR_NEARSHORE\projects\Eelgrass_Restoration\2020_KingCounty_ZmRestoration\photos\2020_12_10_sensors_Raabs_Dockton_QMH\>
temp,Restoration,QMHDockton,2020,4,A,1,20047936,12/11/2020,1:00:00,12/10/2020,15:08:00,4/29/2021,10:50:00,47.38592,-122.43793,Deployment photos in KC Restoration <\\DNR\DIVISIONS\AQR_NEARSHORE\projects\Eelgrass_Restoration\2020_KingCounty_ZmRestoration\photos\2020_12_10_sensors_Raabs_Dockton_QMH\>
temp,Restoration,DumasBay,2020,4,A,1,20604511,12/11/2020,1:00:00,12/29/2020,13:55:00,4/28/2021,12:30:00,47.32933,-122.38615,
temp,Restoration,Joemma,2019,3,methM,NE,20047937,8/14/2019,13:00:00,8/14/2019,12:30:00,9/25/2019,8:30:00,47.22284,-122.81056,All data are valid. Sensors downloaded in the field via Hobo Shuttle.
temp,Restoration,Joemma,2019,3,methM,SE,20047936,8/14/2019,13:00:00,8/14/2019,12:30:00,9/25/2019,9:00:00,47.22277,-122.81052,All data are valid. Sensors downloaded in the field via Hobo Shuttle.
temp,Restoration,Joemma,2019,3,methN,NE,20359579,8/14/2019,13:00:00,8/14/2019,12:30:00,9/25/2019,8:30:00,47.22597,-122.81366,All data are valid. Sensors downloaded in the field via Hobo Shuttle.
temp,Restoration,Joemma,2019,3,methN,SE,20359578,8/14/2019,13:00:00,8/14/2019,12:30:00,9/25/2019,8:30:00,47.22601,-122.81377,All data are valid. Sensors downloaded in the field via Hobo Shuttle.
temp,Restoration,Joemma,2019,3,methS,NE,10128321,8/14/2019,13:00:00,8/14/2019,12:30:00,9/25/2019,9:30:00,47.22118,-122.80933,All data are valid. Sensors downloaded in the field via Hobo Shuttle.
temp,Restoration,Joemma,2019,3,methS,SE,10128320,8/14/2019,13:00:00,8/14/2019,12:30:00,9/25/2019,9:30:00,47.22108,-122.80929,All data are valid. Sensors downloaded in the field via Hobo Shuttle.
temp,Restoration,Joemma,2019,4,methM,NE,20047937,9/25/2019,9:00:00,9/25/2019,9:00:00,7/21/2020,11:00:00,47.22284,-122.81056,
temp,Restoration,Joemma,2019,4,methM,SE,20047936,9/25/2019,9:30:00,9/25/2019,9:30:00,7/21/2020,11:00:00,47.22277,-122.81052,
temp,Restoration,Joemma,2019,4,methN,NE,20359579,9/25/2019,9:00:00,9/25/2019,9:00:00,7/21/2020,11:00:00,47.22597,-122.81366,
temp,Restoration,Joemma,2019,4,methN,SE,20359578,9/25/2019,9:00:00,9/25/2019,9:00:00,7/21/2020,11:00:00,47.22601,-122.81377,
temp,Restoration,Joemma,2019,4,methS,NE,10128321,9/25/2019,10:00:00,9/25/2019,10:00:00,7/21/2020,11:00:00,47.22118,-122.80933,
temp,Restoration,Joemma,2019,4,methS,SE,10128320,9/25/2019,9:30:00,9/25/2019,9:30:00,7/21/2020,11:00:00,47.22108,-122.80929,
temp,Restoration,Joemma,2020,3,methN,NE,20359586,7/21/2020,13:00:00,7/21/2020,13:00:00,7/4/2023,13:00:00,47.22597,-122.81366,Logger battery died on 1/12/2023. 
temp,Restoration,Joemma,2020,3,methM,NE,20359585,7/21/2020,13:00:00,7/21/2020,13:00:00,7/4/2023,13:00:00,47.22284,-122.81056,Logger battery died on 10/17/2021.
temp,Restoration,Joemma,2020,3,methS,NE,20359584,7/21/2020,13:00:00,7/21/2020,13:00:00,,,47.22118,-122.80933,need to check on this logger
temp,Restoration,Joemma,2018,3,PNNL15,deep,20359579,8/10/2018,16:00:00,8/10/2018,13:00:00,6/8/2019,5:30:00,47.222,-122.81008,recorded until sensor memory full
temp,Restoration,Joemma,2018,3,PNNL15,shallow,20359578,8/10/2018,16:00:00,8/10/2018,13:00:00,6/8/2019,5:30:00,47.22215,-122.80967,recorded until sensor memory full
temp,Restoration,Joemma,2019,4,PNNL15,deep,20047930,9/25/2019,9:30:00,9/25/2019,9:30:00,7/21/2020,11:00:00,47.222,-122.81008,
temp,Restoration,Myrtle,2020,1,A,1,20359578,12/30/2020,1:00:00,12/30/2020,10:45:00,5/4/2021,11:00:00,47.62046,-122.36398,Not downloading. May need to return to Onset for data recovery.
temp,Restoration,Joemma,2020,1,NHP,bottom,20359579,12/30/2020,1:00:00,12/29/2020,11:35:00,4/29/2021,15:45:00,47.22196,-122.8102,
temp,Restoration,Joemma,2019,3,PNNL15,deep,20047930,7/31/2019,11:00:00,7/31/2019,14:00:00,8/13/2019,23:30:00,47.222,-122.81008,
temp,Restoration,Joemma,2019,3,PNNL15,deep,20047930,8/14/2019,12:00:00,8/14/2019,14:00:00,9/25/2019,9:00:00,47.222,-122.81008,downloaded on Shuttle in field
temp,Restoration,Joemma,2019,3,PNNL15,shallow,20047929,7/31/2019,11:00:00,7/31/2019,14:00:00,8/13/2019,23:30:00,47.22215,-122.80967,
temp,Restoration,Joemma,2019,3,PNNL15,shallow,20047929,8/14/2019,12:00:00,8/14/2019,14:00:00,9/25/2019,9:00:00,47.22215,-122.80967,
temp,Restoration,Joemma,2020,2,PNNL15,deep,20604511,5/9/2020,13:00:00,5/9/2020,16:00:00,7/21/2020,11:00:00,47.222,-122.81008,
par,SeagrassNet,WA50.1,2008,2,,AIR,39624,4/22/2008,0:00:00,4/22/2008,15:00:00,5/6/2008,12:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2008,2,,A,39625,4/22/2008,0:00:00,4/22/2008,15:00:00,5/6/2008,12:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2008,2,,C,39626,4/22/2008,0:00:00,4/22/2008,15:00:00,5/6/2008,12:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2008,3,,AIR,39623,6/19/2008,14:00:00,6/19/2008,14:00:00,7/3/2008,11:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2008,3,,A,39625,6/19/2008,14:00:00,6/19/2008,14:00:00,7/3/2008,11:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2008,3,,C,39626,6/19/2008,14:00:00,6/19/2008,14:00:00,7/3/2008,11:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2008,4,,AIR,39623,10/3/2008,11:15:00,10/3/2008,10:30:00,10/16/2008,22:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2008,4,,A,39625,10/3/2008,11:15:00,10/3/2008,10:30:00,10/16/2008,22:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2008,4,,C,39626,10/3/2008,11:15:00,10/3/2008,10:30:00,10/16/2008,22:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2009,1,,AIR,39624,12/29/2008,16:00:00,1/1/2009,14:00:00,1/9/2009,18:30:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2009,1,,A,39623,12/29/2008,16:00:00,12/31/2008,12:30:00,1/9/2009,18:30:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2009,1,,C,39627,12/29/2008,16:00:00,1/1/2009,14:00:00,1/9/2009,18:30:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2009,2,,AIR,39624,4/10/2009,18:15:00,4/10/2009,12:00:00,4/27/2009,14:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2009,2,,A,39623,4/10/2009,18:15:00,4/10/2009,12:00:00,4/27/2009,14:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2009,2,,C,39627,4/10/2009,18:15:00,4/10/2009,12:00:00,4/27/2009,14:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2009,3,,AIR,39624,7/6/2009,12:00:00,7/6/2009,12:00:00,7/20/2009,10:15:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2009,3,,A,39623,7/6/2009,12:00:00,7/6/2009,12:00:00,7/20/2009,10:15:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2009,3,,C,39627,7/6/2009,12:00:00,7/6/2009,12:00:00,7/20/2009,10:15:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2009,4,,AIR,39624,10/8/2009,5:15:00,10/8/2009,1:30:00,10/19/2009,22:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2009,4,,A,39623,10/8/2009,5:15:00,10/8/2009,1:30:00,10/19/2009,22:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2009,4,,C,39627,10/8/2009,5:15:00,10/8/2009,1:30:00,10/19/2009,22:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2010,1,,A,39623,1/15/2010,12:00:00,1/15/2010,12:00:00,1/31/2010,12:00:00,47.32863,-122.39083,Air sensor was deployed last at 12:00:00 PM on 15 Jan 2010. Crop all data to that time/date.
par,SeagrassNet,WA50.1,2010,1,,B,39627,1/15/2010,12:00:00,1/15/2010,12:00:00,1/28/2010,23:30:00,47.32896,-122.39049,Air sensor was deployed last at 12:00:00 PM on 15 Jan 2010. Crop all data to that time/date.
par,SeagrassNet,WA50.1,2010,1,,AIR,39624,1/15/2010,12:00:00,1/15/2010,12:00:00,1/31/2010,12:00:00,47.32743,-122.39198,Air sensor was deployed last at 12:00:00 PM on 15 Jan 2010. Crop all data to that time/date.
par,SeagrassNet,WA50.1,2010,1,,C,39627,1/28/2010,23:30:00,1/28/2010,23:30:00,1/31/2010,12:00:00,47.32943,-122.39042,"Sensor 39627 was deployed at B until 28 Jan 2010, then moved to C."
par,SeagrassNet,WA50.1,2010,2,,AIR,39624,4/18/2010,0:00:00,4/17/2010,13:30:00,4/29/2010,9:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2010,2,,A,39623,4/18/2010,0:00:00,4/17/2010,13:30:00,4/29/2010,9:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2010,2,,B,39627,4/18/2010,0:00:00,4/17/2010,13:30:00,4/29/2010,9:00:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2010,3,,AIR,39624,7/9/2010,12:00:00,7/9/2010,11:00:00,7/22/2010,9:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2010,3,,A,39627,7/9/2010,12:00:00,7/9/2010,11:00:00,7/22/2010,9:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2010,3,,C,39623,7/9/2010,12:00:00,7/9/2010,11:00:00,7/22/2010,9:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2010,4,,AIR,39624,10/11/2010,4:00:00,10/11/2010,2:00:00,10/26/2010,21:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2010,4,,A,39627,10/11/2010,4:00:00,10/11/2010,2:00:00,10/26/2010,21:00:00,47.32863,-122.39083,Incorrectly launched
par,SeagrassNet,WA50.1,2010,4,,B,39623,10/11/2010,4:00:00,10/11/2010,2:00:00,10/26/2010,21:00:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2011,1,,AIR,39624,1/3/2011,8:00:00,1/3/2011,16:00:00,1/17/2011,8:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2011,1,,A,39627,1/3/2011,8:00:00,1/2/2011,23:00:00,1/17/2011,8:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2011,1,,B,39623,1/3/2011,8:00:00,1/2/2011,23:00:00,1/17/2011,8:00:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2011,2,,AIR,39624,4/6/2011,16:00:00,4/6/2011,14:00:00,4/20/2011,10:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2011,2,,A,39627,4/6/2011,16:00:00,4/6/2011,14:00:00,4/20/2011,10:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2011,2,,C,39623,4/6/2011,16:00:00,4/6/2011,14:00:00,4/20/2011,10:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2011,3,,AIR,39624,7/1/2011,12:00:00,7/1/2011,13:00:00,7/12/2011,0:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2011,3,,A,39627,7/1/2011,12:00:00,7/1/2011,13:00:00,7/12/2011,0:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2011,3,,C,39623,7/1/2011,12:00:00,7/1/2011,13:00:00,7/12/2011,0:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2011,4,,AIR,39623,10/14/2011,1:00:00,10/14/2011,0:30:00,10/28/2011,22:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2011,4,,A,39624,10/14/2011,1:00:00,10/14/2011,0:30:00,10/28/2011,22:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2011,4,,B,39627,10/14/2011,1:00:00,10/14/2011,0:30:00,10/28/2011,22:00:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2012,1,,AIR,39623,1/6/2012,12:00:00,1/6/2012,13:45:00,1/22/2011,20:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2012,1,,A,39624,1/6/2012,12:00:00,1/6/2012,13:45:00,1/22/2011,20:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2012,1,,B,39627,1/6/2012,12:00:00,1/6/2012,13:45:00,1/22/2011,20:00:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2012,2,,AIR,39625,3/26/2012,14:00:00,3/26/2012,14:00:00,4/9/2012,10:45:00,47.32743,-122.39198,Did not record specific deployment time in field book.
par,SeagrassNet,WA50.1,2012,2,,A,39624,3/26/2012,14:00:00,3/26/2012,14:00:00,4/9/2012,10:45:00,47.32863,-122.39083,Did not record specific deployment time in field book.
par,SeagrassNet,WA50.1,2012,2,,C,39627,3/26/2012,14:00:00,3/26/2012,14:00:00,4/9/2012,10:45:00,47.32943,-122.39042,Did not record specific deployment time in field book.
par,SeagrassNet,WA50.1,2012,3,,AIR,39625,6/19/2012,15:00:00,6/19/2012,12:00:00,7/3/2012,8:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2012,3,,A,39624,6/19/2012,15:00:00,6/19/2012,12:00:00,7/3/2012,8:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2012,3,,C,39627,6/19/2012,15:00:00,6/19/2012,12:00:00,7/3/2012,8:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2012,4,,AIR,39625,10/4/2012,18:00:00,10/4/2012,17:45:00,10/17/2012,22:30:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2012,4,,A,39624,10/4/2012,18:00:00,10/4/2012,17:45:00,10/17/2012,22:30:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2012,4,,B,39627,10/4/2012,18:00:00,10/4/2012,17:45:00,10/17/2012,22:30:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2013,1,,AIR,39625,12/27/2012,1:00:00,12/26/2012,22:00:00,1/10/2013,19:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2013,1,,A,39624,12/27/2012,1:00:00,12/26/2012,22:00:00,1/10/2013,19:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2013,1,,B,39627,12/27/2012,1:00:00,12/26/2012,22:00:00,1/10/2013,19:00:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2013,2,,AIR,39625,4/1/2013,16:00:00,4/1/2013,16:00:00,4/29/2013,11:30:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2013,2,,A,39624,4/1/2013,16:00:00,4/1/2013,16:00:00,4/29/2013,11:30:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2013,2,,C,39627,4/1/2013,16:00:00,4/1/2013,16:00:00,4/29/2013,11:30:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2013,3,,AIR,39625,7/9/2013,14:00:00,7/9/2013,13:00:00,7/23/2013,9:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2013,3,,A,39624,7/9/2013,14:00:00,7/9/2013,13:00:00,7/23/2013,9:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2013,3,,C,39627,7/9/2013,14:00:00,7/9/2013,13:00:00,7/23/2013,9:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2013,4,,AIR,39625,9/23/2013,12:00:00,9/22/2013,6:00:00,10/8/2013,16:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2013,4,,A,39624,9/23/2013,12:00:00,9/22/2013,6:00:00,10/8/2013,16:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2013,4,,B,39627,9/23/2013,12:00:00,9/22/2013,6:00:00,10/8/2013,16:00:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2014,1,,AIR,39625,12/17/2013,12:00:00,12/16/2013,22:00:00,1/1/2014,20:30:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2014,1,,A,39624,12/17/2013,12:00:00,12/16/2013,22:00:00,1/1/2014,20:30:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2014,1,,B,39627,12/17/2013,12:00:00,12/16/2013,22:00:00,1/1/2014,20:30:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2014,2,,AIR,39625,4/16/2014,13:00:00,4/16/2014,12:45:00,4/28/2014,9:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2014,2,,A,39624,4/16/2014,13:00:00,4/16/2014,12:45:00,4/28/2014,9:00:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2014,2,,C,39627,4/16/2014,13:00:00,4/16/2014,12:45:00,4/28/2014,9:00:00,47.32943,-122.39042,
par,SeagrassNet,WA50.1,2014,3,,AIR,39625,6/12/2014,12:00:00,6/12/2014,12:00:00,7/10/2014,7:30:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2014,3,,A,39624,6/12/2014,12:00:00,6/12/2014,12:00:00,7/10/2014,7:30:00,47.32863,-122.39083,Sensor cleaned on 25 Jun 2014
par,SeagrassNet,WA50.1,2014,3,,C,39627,6/12/2014,12:00:00,6/12/2014,12:00:00,12/22/2014,23:00:00,47.32943,-122.39042,Sensor cleaned on 25 Jun 2014. Sensor never recovered in July bc JG broke collarbone and didn't sample C. Ody 39627 stayed out until 22 Dec 2014
par,SeagrassNet,WA50.1,2014,4,,AIR,39625,10/10/2014,2:00:00,10/10/2014,1:00:00,11/6/2014,19:30:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2014,4,,A,39624,10/10/2014,2:00:00,10/10/2014,1:00:00,11/6/2014,19:30:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2014,4,,B,39623,10/10/2014,2:00:00,10/10/2014,1:00:00,11/6/2014,19:30:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2015,1,,AIR,39625,12/22/2014,23:30:00,12/22/2014,23:15:00,1/19/2015,19:30:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2015,1,,A,39624,12/22/2014,23:30:00,12/22/2014,23:15:00,1/19/2015,19:30:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2015,1,,B,39623,12/22/2014,23:30:00,12/22/2014,23:15:00,1/19/2015,19:30:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2015,2,,AIR,39625,3/23/2015,15:00:00,3/23/2015,18:00:00,4/20/2015,10:30:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2015,2,,A,39624,3/23/2015,15:00:00,3/23/2015,18:00:00,4/20/2015,10:30:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2015,2,,B,39623,3/23/2015,15:00:00,3/23/2015,18:00:00,4/20/2015,10:30:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2015,3,,AIR,4590,6/16/2015,12:00:00,6/16/2015,11:30:00,7/2/2015,9:15:00,47.32743,-122.39198,Problem with Odyssey light sensors. Did not collect data.
par,SeagrassNet,WA50.1,2015,3,,A,4591,6/16/2015,12:00:00,6/16/2015,11:30:00,7/2/2015,9:15:00,47.32863,-122.39083,Problem with Odyssey light sensors. Did not collect data.
par,SeagrassNet,WA50.1,2015,3,,C,4592,6/16/2015,12:00:00,6/16/2015,11:30:00,7/2/2015,9:15:00,47.32943,-122.39042,Problem with Odyssey light sensors. Did not collect data.
par,SeagrassNet,WA50.1,2015,4,,AIR,4590,10/2/2015,6:00:00,10/2/2015,3:00:00,10/27/2015,21:30:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2015,4,,A,4591,10/2/2015,6:00:00,10/2/2015,3:00:00,10/27/2015,21:30:00,47.32863,-122.39083,
par,SeagrassNet,WA50.1,2015,4,,B,4592,10/2/2015,6:00:00,10/2/2015,3:00:00,10/27/2015,21:30:00,47.32896,-122.39049,
par,SeagrassNet,WA50.1,2016,1,,AIR,4590,12/22/2015,20:30:00,12/22/2015,21:30:00,1/10/2016,19:00:00,47.32743,-122.39198,
par,SeagrassNet,WA50.1,2016,1,,A,4591,12/22/2015,20:30:00,12/22/2015,21:30:00,1/10/2016,19:00:00,47.32863,-122.39083,
